scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Cymbilaimus lineatus,NA,Fasciated Antshrike,NA,Zebraameisenwürger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Leach, 1814)","MA, SA: se Honduras bis Amazonien",Cymbilaimus lineatus_Fasciated Antshrike,Fasciated Antshrike,fasant1,species,12857,FAAN,NA,CYLI,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Ciccaba huhula,Strix huhula,Black-banded Owl,NA,Zebrakauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,SA: weit verbreitet,Ciccaba huhula_Black-banded Owl,Black-banded Owl,bkbowl1,species,8723,NA,BBOW,CIHU,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Picumnus cirratus,NA,White-barred Piculet,NA,Zebrazwergspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Temminck, 1825","SA: ne, se",Picumnus cirratus_White-barred Piculet,White-barred Piculet,whbpic1,species,10571,NA,WBPI,PICI,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Bombycilla cedrorum,NA,Cedar Waxwing,NA,Zedernseidenschwanz,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Bombycilla cedrorum_Cedar Waxwing,Cedar Waxwing,cedwax,species,28890,CEDW,CEWA,BOCE,Passeriformes,bombyc1,Waxwings,Bombycillidae,NA,NA,NA
Zebrilus undulatus,NA,Zigzag Heron,NA,Zickzackreiher,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1789)",SA: Amazonien,Zebrilus undulatus_Zigzag Heron,Zigzag Heron,zigher1,species,7132,NA,ZIHE,ZEUN,Pelecaniformes,ardeid1,"Herons, Egrets, and Bitterns",Ardeidae,NA,NA,NA
Cinnyris venustus,NA,Variable Sunbird,NA,Ziernektarvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Cinnyris venustus_Variable Sunbird,Variable Sunbird,varsun2,species,29414,NA,VASU,CIVE,Passeriformes,nectar1,Sunbirds and Spiderhunters,Nectariniidae,NA,NA,NA
Phylloscopus collybita,NA,Common Chiffchaff,NA,Zilpzalp,Zi,1,1,1,1,1,2,,,1,1,NA,"(Vieillot, 1817)",PAL: weit verbreitet,Phylloscopus collybita_Common Chiffchaff,Common Chiffchaff,comchi1,species,23991,CCHI,COCH,PHCO,Passeriformes,phyllo4,Leaf Warblers,Phylloscopidae,NA,NA,NA
Attila cinnamomeus,NA,Cinnamon Attila,NA,Zimtattilatyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1789)",SA: Amazonien,Attila cinnamomeus_Cinnamon Attila,Cinnamon Attila,cinatt1,species,16570,NA,CIAT,ATCI,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Drymophila rubricollis,NA,Bertoni's Antbird,NA,Zimtbauch-Ameisenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bertoni, AW, 1901)","SA: e Paraguay, ne Argentinien und se Brasilien",Drymophila rubricollis_Bertoni's Antbird,Bertoni's Antbird,berant1,species,13260,NA,BEAN,DRRU,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Sayornis saya,NA,Say's Phoebe,NA,Zimtbauch-Phoebetyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bonaparte, 1825)","NA, MA: Alaska bis s Mexiko",Sayornis saya_Say's Phoebe,Say's Phoebe,saypho,species,16341,SAPH,NA,SASA,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Amazilia rutila,NA,Cinnamon Hummingbird,NA,Zimtbauchamazilie,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Delattre, 1843)",MA: nw Mexiko bis Costa Rica,Amazilia rutila_Cinnamon Hummingbird,Cinnamon Hummingbird,cinhum1,species,4970,CIHU,NA,AMRU,Caprimulgiformes,trochi1,Hummingbirds,Trochilidae,NA,NA,NA
Pachyramphus cinnamomeus,NA,Cinnamon Becard,NA,Zimtbekarde,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Lawrence, 1861","MA, SA: se Mexiko bis w Ecuador",Pachyramphus cinnamomeus_Cinnamon Becard,Cinnamon Becard,cinbec1,species,15385,CIMB,CIBE,PACI,Passeriformes,tityri1,Tityras and Allies,Tityridae,NA,NA,NA
Campephilus pollens,NA,Powerful Woodpecker,NA,Zimtbindenspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bonaparte, 1845)",SA: nz Kolumbien bis Peru,Campephilus pollens_Powerful Woodpecker,Powerful Woodpecker,powwoo1,species,11031,NA,POWO,CAPO,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Baryphthengus martii,NA,Rufous Motmot,NA,Zimtbrustmotmot,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(von Spix, 1824)","MA, SA: e Honduras bis sw Ecuador, w Amazonien",Baryphthengus martii_Rufous Motmot,Rufous Motmot,rufmot1,species,9362,RMOT,RUMO,BAMA,Coraciiformes,momoti1,Motmots,Momotidae,NA,NA,NA
